"IdNormativaRef";"IdNorActual";"IdNorAnterior";"TipoRef"
1300;1439;1439;3
1301;1441;785;2
1302;1441;862;2
1303;1441;1097;2
1304;1441;1154;2
1305;1441;1292;2
1306;1441;1293;1
1307;1442;785;3
1308;1442;862;3
1309;1442;1097;3
1310;1442;1154;3
1311;1442;1292;3
1312;1442;1441;3
1313;972;867;1
1314;1448;972;1
1315;1449;1191;2
1316;1449;1241;2
1317;1449;1280;2
1318;1449;1298;2
1319;1449;1336;2
1320;1449;1357;2
1321;1449;1406;2
1322;1449;1423;2
1323;1449;1424;1
1324;1450;1191;3
1325;1450;1241;3
1326;1450;1280;3
1327;1450;1298;3
1328;1450;1336;3
1329;1450;1357;3
1330;1450;1406;3
1331;1450;1423;3
1332;1450;1449;3
1333;1452;880;2
1334;1452;1308;2
1336;981;714;1
1337;1056;981;1
1338;1133;1056;1
1339;1285;1133;1
1340;1453;1285;4
1341;1454;1285;4
1342;1455;1286;1
1343;1457;1190;2
1344;1457;1212;2
1345;1457;1284;2
1346;1457;1320;2
1347;1457;1341;2
1348;1457;1342;1
1349;1458;1190;3
1350;1458;1212;3
1351;1458;1284;3
1352;1458;1320;3
1353;1458;1341;3
1354;1458;1457;3
1384;1459;1192;2
1385;1459;1243;2
1386;1459;1346;2
1387;1459;1359;2
1388;1459;1369;2
1389;1459;1389;2
1390;1459;1408;2
1391;1459;1425;2
1392;1459;1427;1
1393;1460;1192;2
1394;1460;1243;2
1395;1460;1346;2
1396;1460;1359;2
1397;1460;1369;2
1398;1460;1389;2
1399;1460;1408;2
1400;1460;1425;2
1410;1460;1459;2
1411;1461;1192;3
1412;1461;1243;3
1413;1461;1346;3
1414;1461;1359;3
1415;1461;1369;3
1416;1461;1389;3
1417;1461;1408;3
1418;1461;1425;3
1419;1461;1459;3
1420;1461;1460;3
1421;736;299;3
1422;1037;299;2
1423;1037;997;1
1424;1462;299;2
1425;1462;654;2
1426;1462;730;2
1427;1462;1037;2
1428;1463;299;3
1429;1463;654;3
1430;1463;730;3
1431;1463;1037;3
1432;1463;1462;3
1433;204;67;1
1434;204;69;1
1435;740;332;1
1436;1464;1058;2
1437;1465;1058;3
1438;1465;1464;3
1439;1466;1191;2
1440;1466;1241;2
1441;1466;1280;2
1442;1466;1298;2
1443;1466;1336;2
1444;1466;1357;2
1445;1466;1406;2
1446;1466;1423;2
1447;1466;1449;2
1448;1467;1191;3
1449;1467;1241;3
1450;1467;1280;3
1451;1467;1298;3
1452;1467;1336;3
1453;1467;1357;3
1454;1467;1406;3
1455;1467;1423;3
1456;1467;1449;3
